PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
peroxisome fission (GO:0016559)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
protein import into peroxisome matrix (GO:0016558)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
mRNA modification (GO:0016556)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
base conversion or substitution editing (GO:0016553)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of nucleotide biosynthetic process (GO:0030808)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
porphyrin-containing compound biosynthetic process (GO:0006779)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
porphyrin-containing compound metabolic process (GO:0006778)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
thiamine metabolic process (GO:0006772)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
riboflavin metabolic process (GO:0006771)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
protein autoprocessing (GO:0016540)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
biotin metabolic process (GO:0006768)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
dihydrofolate biosynthetic process (GO:0006761)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
folic acid-containing compound metabolic process (GO:0006760)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
pectin catabolic process (GO:0045490)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ATP biosynthetic process (GO:0006754)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
glutathione catabolic process (GO:0006751)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
glutathione biosynthetic process (GO:0006750)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of alcohol biosynthetic process (GO:1902932)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
pectin metabolic process (GO:0045488)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial tRNA 3'-end processing (GO:1990180)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
malonic acid transport (GO:1900752)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
glutathione metabolic process (GO:0006749)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
FAD biosynthetic process (GO:0006747)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
NADP catabolic process (GO:0006742)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
NADPH regeneration (GO:0006740)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
inulin catabolic process (GO:1902927)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
inulin metabolic process (GO:1902926)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein localization to actomyosin contractile ring (GO:1990179)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
(R)-carnitine transport (GO:1900749)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
autophagosome-lysosome fusion (GO:0061909)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
SCF complex disassembly in response to cadmium stress (GO:1990171)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of p38MAPK cascade (GO:1900744)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
stress response to cadmium ion (GO:1990170)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
NADH regeneration (GO:0006735)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
NADH metabolic process (GO:0006734)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
one-carbon metabolic process (GO:0006730)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial protein catabolic process (GO:0035694)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
stress response to copper ion (GO:1990169)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of protein polyubiquitination (GO:1902915)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein polyubiquitination (GO:1902914)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein localization to site of double-strand break (GO:1990166)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cell wall integrity MAPK cascade (GO:0000196)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of flocculation (GO:1900735)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
tetrahydrobiopterin biosynthetic process (GO:0006729)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
triterpenoid metabolic process (GO:0006722)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
rDNA heterochromatin formation (GO:0000183)	22	0	0.76	-	 < 0.01	1.00E+00	1.00E+00
protein localization to cell tip (GO:1990151)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cell redox homeostasis (GO:0045454)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
protein-lipid complex assembly (GO:0065005)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
intracellular protein transmembrane transport (GO:0065002)	45	0	1.56	-	 < 0.01	4.07E-01	1.00E+00
negative regulation of monoatomic ion transport (GO:0043271)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
tricarboxylic acid transmembrane transport (GO:0035674)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
chromatin looping (GO:0140588)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
galactose catabolic process via UDP-galactose (GO:0033499)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
ferulate metabolic process (GO:0033494)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
maintenance of translational fidelity (GO:1990145)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of potassium ion transport (GO:0043268)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of potassium ion transport (GO:0043267)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of potassium ion transport (GO:0043266)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
steroid catabolic process (GO:0006706)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
extraction of mislocalized protein from mitochondrial outer membrane (GO:0140570)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein localization to nuclear periphery (GO:1990139)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
extraction of mislocalized protein from membrane (GO:0140568)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"clathrin-coated vesicle cargo loading, AP-1-mediated (GO:0035653)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
clathrin-coated vesicle cargo loading (GO:0035652)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of nitric oxide biosynthetic process (GO:0045429)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of nitric oxide biosynthetic process (GO:0045428)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
rRNA modification (GO:0000154)	27	0	0.94	-	 < 0.01	1.00E+00	1.00E+00
telomere maintenance in response to DNA damage (GO:0043247)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of protein-containing complex disassembly (GO:0043243)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase III assembly (GO:1990115)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase II core complex assembly (GO:1990114)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase I assembly (GO:1990113)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of cyclase activity (GO:0031281)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
defense response to symbiont (GO:0140546)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
regulation of cyclase activity (GO:0031279)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ER to Golgi ceramide transport (GO:0035621)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
MCM complex loading (GO:0140530)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
flocculation (GO:0000128)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
nonribosomal peptide biosynthetic process (GO:0019184)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
response to external biotic stimulus (GO:0043207)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
protein deacylation (GO:0035601)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
FMN biosynthetic process (GO:0009398)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
folic acid-containing compound biosynthetic process (GO:0009396)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
2'-deoxyribonucleotide metabolic process (GO:0009394)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
microlipophagy (GO:0140504)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of antisense RNA transcription (GO:0060196)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of kinetochore assembly (GO:1905560)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein desumoylation (GO:0060188)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of formation of translation preinitiation complex (GO:1901195)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
regulation of formation of translation preinitiation complex (GO:1901193)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
G protein-coupled receptor signaling pathway (GO:0007186)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
astral microtubule depolymerization (GO:0060172)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
receptor recycling (GO:0001881)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
tRNA transcription by RNA polymerase III (GO:0042797)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
5S class rRNA transcription by RNA polymerase III (GO:0042791)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	24	0	0.83	-	 < 0.01	1.00E+00	1.00E+00
"post-translational protein targeting to membrane, translocation (GO:0031204)"	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
regulation of Golgi organization (GO:1903358)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of nucleus organization (GO:1903353)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
L-ornithine transmembrane transport (GO:1903352)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
tRNA 3'-end processing (GO:0042780)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
cell surface receptor signaling pathway (GO:0007166)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of protein autoubiquitination (GO:1905524)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	39	0	1.35	-	 < 0.01	6.45E-01	1.00E+00
ATP synthesis coupled electron transport (GO:0042773)	39	0	1.35	-	 < 0.01	6.45E-01	1.00E+00
positive regulation of meiotic DNA double-strand break formation (GO:1903343)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of fungal-type cell wall biogenesis (GO:0032995)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of vacuolar transport (GO:1903335)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of sulfur metabolic process (GO:0042762)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein folding (GO:1903332)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
very long-chain fatty acid catabolic process (GO:0042760)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
protein localization to microtubule organizing center (GO:1905508)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
regulation of iron-sulfur cluster assembly (GO:1903329)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of tRNA metabolic process (GO:1903328)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of tRNA metabolic process (GO:1903326)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
oligosaccharide catabolic process (GO:0009313)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
amino acid transmembrane import into vacuole (GO:0032975)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
meiosis II (GO:0007135)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
amino acid export across plasma membrane (GO:0032973)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of protein maturation (GO:1903319)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein maturation (GO:1903317)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of nitrogen cycle metabolic process (GO:1903316)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
hydrogen peroxide catabolic process (GO:0042744)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
regulation of nitrogen cycle metabolic process (GO:1903314)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
hydrogen peroxide metabolic process (GO:0042743)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
tRNA transcription (GO:0009304)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
rRNA transcription (GO:0009303)	39	0	1.35	-	 < 0.01	6.45E-01	1.00E+00
snRNA transcription (GO:0009301)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
D-serine catabolic process (GO:0036088)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
axial cellular bud site selection (GO:0007120)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
heme O biosynthetic process (GO:0048034)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
heme O metabolic process (GO:0048033)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
D-xylose metabolic process (GO:0042732)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
inositol phosphate biosynthetic process (GO:0032958)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
budding cell isotropic bud growth (GO:0007119)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of division septum assembly (GO:0032955)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
regulation of cell budding (GO:0007116)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
flavin-containing compound biosynthetic process (GO:0042727)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
flavin-containing compound metabolic process (GO:0042726)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
"negative regulation of mRNA splicing, via spliceosome (GO:0048025)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
thiamine-containing compound catabolic process (GO:0042725)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
thiamine-containing compound biosynthetic process (GO:0042724)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
thiamine-containing compound metabolic process (GO:0042723)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylinositol-mediated signaling (GO:0048015)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
biofilm formation (GO:0042710)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of translation in response to oxidative stress (GO:0032938)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of sterol import (GO:2000911)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of sterol import (GO:2000910)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
protein localization to spindle microtubule (GO:1902889)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of response to oxidative stress (GO:1902882)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
TORC2 signaling (GO:0038203)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
TORC1 signaling (GO:0038202)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
regulation of sterol import (GO:2000909)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of starch metabolic process (GO:2000906)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
regulation of starch metabolic process (GO:2000904)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
glycosphingolipid biosynthetic process (GO:0006688)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
glycosphingolipid metabolic process (GO:0006687)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
protein localization to endosome (GO:0036010)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
microtubule organizing center localization (GO:0061842)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mannosyl diphosphorylinositol ceramide metabolic process (GO:0006676)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
'de novo' pyridoxal 5'-phosphate biosynthetic process (GO:0036001)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mannosyl-inositol phosphorylceramide metabolic process (GO:0006675)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
inositol phosphoceramide metabolic process (GO:0006673)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
ceramide metabolic process (GO:0006672)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
sphingosine metabolic process (GO:0006670)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
3-keto-sphinganine metabolic process (GO:0006666)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
glycolipid metabolic process (GO:0006664)	38	0	1.32	-	 < 0.01	6.42E-01	1.00E+00
phosphatidylserine catabolic process (GO:0006660)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylserine biosynthetic process (GO:0006659)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylserine metabolic process (GO:0006658)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
CDP-choline pathway (GO:0006657)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylcholine biosynthetic process (GO:0006656)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylglycerol biosynthetic process (GO:0006655)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
phosphatidic acid biosynthetic process (GO:0006654)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylethanolamine biosynthetic process (GO:0006646)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle formation (spindle phase one) (GO:0061804)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
unsaturated fatty acid biosynthetic process (GO:0006636)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
fatty acid beta-oxidation (GO:0006635)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
sulfur amino acid catabolic process (GO:0000098)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
vacuolar protein processing (GO:0006624)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
protein retention in ER lumen (GO:0006621)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of mitotic spindle assembly checkpoint signaling (GO:0140499)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of cell cycle G1/S phase transition (GO:1902807)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
mitotic G1 phase (GO:0000080)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)"	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
nucleoside salvage (GO:0043174)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
nucleotide salvage (GO:0043173)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
cotranslational protein targeting to membrane (GO:0006613)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
protein targeting to membrane (GO:0006612)	61	0	2.11	-	 < 0.01	2.75E-01	1.00E+00
peptide catabolic process (GO:0043171)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
L-proline biosynthetic process (GO:0055129)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum membrane biogenesis (GO:0160031)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
acetate ester metabolic process (GO:1900619)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
initial mitotic spindle pole body separation (GO:0000073)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
DNA repair complex assembly (GO:0090735)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
N-terminal peptidyl-proline methylation (GO:0035568)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
putrescine biosynthetic process from ornithine (GO:0033387)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
geranyl diphosphate biosynthetic process (GO:0033384)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
geranyl diphosphate metabolic process (GO:0033383)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
farnesyl diphosphate biosynthetic process (GO:0045337)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
GCN2-mediated signaling (GO:0140469)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
integrated stress response signaling (GO:0140467)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
detection of misfolded protein (GO:0002236)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
carnitine biosynthetic process (GO:0045329)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
argininosuccinate metabolic process (GO:0000053)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
citrulline metabolic process (GO:0000052)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
urea cycle (GO:0000050)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
electron transport coupled proton transport (GO:0015990)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of SNARE complex assembly (GO:0035544)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of SNARE complex assembly (GO:0035543)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of SNARE complex assembly (GO:0035542)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
secretory granule organization (GO:0033363)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)"	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
proton motive force-driven ATP synthesis (GO:0015986)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
NAD transport (GO:0043132)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
S-adenosylmethionine cycle (GO:0033353)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
carbon utilization (GO:0015976)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
rRNA methylation (GO:0031167)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
maltose catabolic process (GO:0000025)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
maltose metabolic process (GO:0000023)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
protein K29-linked ubiquitination (GO:0035519)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
diadenosine polyphosphate catabolic process (GO:0015961)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
receptor metabolic process (GO:0043112)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
regulation of G-quadruplex DNA binding (GO:1905493)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of mitotic recombination (GO:0000019)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
alpha-glucoside transport (GO:0000017)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
single strand break repair (GO:0000012)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
diadenosine polyphosphate metabolic process (GO:0015959)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
hypoxanthine salvage (GO:0043103)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
amino acid salvage (GO:0043102)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
purine-containing compound salvage (GO:0043101)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
mRNA transcription (GO:0009299)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
GDP-mannose biosynthetic process (GO:0009298)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
proteasome localization (GO:0031144)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial genome maintenance (GO:0000002)	48	0	1.66	-	 < 0.01	4.14E-01	1.00E+00
positive regulation of protein localization to membrane (GO:1905477)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
formate metabolic process (GO:0015942)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein localization to membrane (GO:1905475)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
meiotic spindle assembly checkpoint signaling (GO:0033316)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein localization to Golgi membrane (GO:1903292)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitotic DNA replication checkpoint signaling (GO:0033314)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of conjugation with cellular fusion (GO:0031138)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
coenzyme A catabolic process (GO:0015938)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
coenzyme A biosynthetic process (GO:0015937)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
coenzyme A metabolic process (GO:0015936)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of DNA duplex unwinding (GO:1905464)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of DNA duplex unwinding (GO:1905463)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of DNA duplex unwinding (GO:1905462)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic microtubule organization (GO:0031122)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
