FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
mitogen-activated protein kinase binding (GO:0051019)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
protein kinase A binding (GO:0051018)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor (GO:0016728)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH or CH2 groups (GO:0016725)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on metal ions, oxygen as acceptor (GO:0016724)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end binding (GO:0051011)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
thymidylate synthase activity (GO:0004799)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end binding (GO:0051010)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
thymidylate kinase activity (GO:0004798)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on superoxide radicals as acceptor (GO:0016721)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
threonine synthase activity (GO:0004795)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
threonine deaminase activity (GO:0004794)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
threonine aldolase activity (GO:0004793)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiosulfate sulfurtransferase activity (GO:0004792)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
thioredoxin-disulfide reductase (NADPH) activity (GO:0004791)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
O-acetylhomoserine sulfhydrylase activity (GO:0051009)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water (GO:0016717)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen (GO:0016716)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA/RNA helicase activity (GO:0033678)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamine-phosphate diphosphorylase activity (GO:0004789)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen (GO:0016713)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA/RNA helicase activity (GO:0033677)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
ornithine carbamoyltransferase inhibitor activity (GO:0090369)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphokinase activity (GO:0004788)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
superoxide dismutase activity (GO:0004784)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
sulfate adenylyltransferase (ATP) activity (GO:0004781)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfate adenylyltransferase (ADP) activity (GO:0004780)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ferric-enterobactin transmembrane transporter activity (GO:0015620)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase binding (GO:0043424)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cupric ion binding (GO:1903135)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleosomal DNA binding (GO:0031492)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor (GO:0016708)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
sulfate adenylyltransferase activity (GO:0004779)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases) (GO:0016703)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase (NAD+) activity (GO:0004777)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen (GO:0016701)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase (GDP-forming) activity (GO:0004776)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA translocase activity (GO:0015616)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase (ADP-forming) activity (GO:0004775)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase activity (GO:0004774)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA clamp loader activity (GO:0003689)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
DNA replication origin binding (GO:0003688)	38	0	1.32	-	 < 0.01	6.43E-01	1.00E00
sterol O-acyltransferase activity (GO:0004772)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sterol esterase activity (GO:0004771)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
myosin V binding (GO:0031489)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
damaged DNA binding (GO:0003684)	22	0	.77	-	 < 0.01	1.00E00	1.00E00
stearoyl-CoA 9-desaturase activity (GO:0004768)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-arginine transmembrane transporter activity (GO:0061459)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
spermidine synthase activity (GO:0004766)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
spermidine transmembrane transporter activity (GO:0015606)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
shikimate kinase activity (GO:0004765)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
organophosphate ester transmembrane transporter activity (GO:0015605)	24	0	.84	-	 < 0.01	1.00E00	1.00E00
shikimate 3-dehydrogenase (NADP+) activity (GO:0004764)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA helicase activity (GO:0003678)	39	0	1.36	-	 < 0.01	6.46E-01	1.00E00
serine-pyruvate transaminase activity (GO:0004760)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H4K16 deacetylase activity (GO:0034739)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
lanosterol O-acyltransferase activity (GO:0034738)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ergosterol O-acyltransferase activity (GO:0034737)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase activity (GO:0004758)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity (GO:0004755)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
saccharopine dehydrogenase (NAD+, L-lysine-forming) activity (GO:0004754)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
saccharopine dehydrogenase activity (GO:0004753)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ribose-5-phosphate isomerase activity (GO:0004751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-ribulose-phosphate 3-epimerase activity (GO:0004750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine racemase activity (GO:0030378)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation repressor activity (GO:0030371)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase activity (GO:0004749)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
riboflavin synthase activity (GO:0004746)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonucleoside binding (GO:0032549)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity (GO:0004741)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sulfiredoxin activity (GO:0032542)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deubiquitinase activator activity (GO:0035800)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
first spliceosomal transesterification activity (GO:0000384)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase (acetyl-transferring) activity (GO:0004739)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase activity (GO:0004738)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
pyruvate decarboxylase activity (GO:0004737)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
pyruvate carboxylase activity (GO:0004736)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrroline-5-carboxylate reductase activity (GO:0004735)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inulinase activity (GO:0051670)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pyridoxamine phosphate oxidase activity (GO:0004733)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
purine-nucleoside phosphorylase activity (GO:0004731)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pseudouridylate synthase activity (GO:0004730)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxygen-dependent protoporphyrinogen oxidase activity (GO:0004729)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activity (GO:0004725)	17	0	.59	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein serine/threonine phosphatase activity (GO:0004723)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
mitogen-activated protein kinase kinase kinase binding (GO:0031435)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal protein N-methyltransferase activity (GO:0071885)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 2B binding (GO:0030346)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol phosphate phosphatase activity (GO:0052745)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol monophosphate phosphatase activity (GO:0052744)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol kinase activity (GO:0052742)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity (GO:0050567)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA polymerase processivity factor activity (GO:0030337)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
dihydrosphingosine-1-phosphate phosphatase activity (GO:0070780)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
MAP kinase activity (GO:0004707)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine47 synthase activity (GO:0102265)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine20 synthase activity (GO:0102264)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine17 synthase activity (GO:0102263)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine16 synthase activity (GO:0102262)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid binding (GO:0031418)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
U1 snRNP binding (GO:1990446)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase regulator activity (GO:0042979)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phytoceramidase activity (GO:0070774)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein-N-terminal glutamine amidohydrolase activity (GO:0070773)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 3-kinase activity (GO:0052724)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 1-kinase activity (GO:0052723)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA 7-methylguanosine cap binding (GO:0000340)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
4-hydroxyphenylpyruvate decarboxylase activity (GO:0050546)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MAP kinase serine/threonine phosphatase activity (GO:1990439)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
linear malto-oligosaccharide phosphorylase activity (GO:0102250)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle binding (GO:1904855)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
carboxylic acid binding (GO:0031406)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
lipoic acid binding (GO:0031405)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine-34 deaminase activity (GO:0052717)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA cap binding (GO:0000339)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
inositol phosphosphingolipid phospholipase activity (GO:0052712)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxyanthranilate 3,4-dioxygenase activity (GO:0000334)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-flap endonuclease activity (GO:0048257)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
flap endonuclease activity (GO:0048256)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
biotin-protein ligase activity (GO:0018271)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phytanoyl-CoA dioxygenase activity (GO:0048244)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
diphthine-ammonia ligase activity (GO:0017178)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-leucyl-tRNA(Leu) deacylase activity (GO:0097358)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol N-acetylglucosaminyltransferase activity (GO:0017176)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
glucoside transmembrane transporter activity (GO:0042947)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transporter activity (GO:0001409)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerophosphodiester transmembrane transporter activity (GO:0001406)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine hydrolase activity (GO:0017171)	20	0	.70	-	 < 0.01	1.00E00	1.00E00
sulfite transmembrane transporter activity (GO:0000319)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative binding (GO:1901567)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
xanthine phosphoribosyltransferase activity (GO:0000310)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CDP-alcohol phosphatidyltransferase activity (GO:0017169)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
5-oxoprolinase (ATP-hydrolyzing) activity (GO:0017168)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tripeptide transmembrane transporter activity (GO:0042937)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosomal large subunit rRNA binding (GO:1990400)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
metal-dependent deubiquitinase activity (GO:0140492)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinamide-nucleotide adenylyltransferase activity (GO:0000309)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
AMPylase activity (GO:0070733)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mannan endo-1,6-alpha-mannosidase activity (GO:0008496)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protoheme IX farnesyltransferase activity (GO:0008495)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation activator activity (GO:0008494)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase (NAD(P)H) activity (GO:0047134)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sulfuric ester hydrolase activity (GO:0008484)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transaminase activity (GO:0008483)	22	0	.77	-	 < 0.01	1.00E00	1.00E00
sphinganine kinase activity (GO:0008481)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
spindle pole body anchor activity (GO:0140475)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mismatched DNA binding (GO:0030983)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
pyridoxal kinase activity (GO:0008478)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleosidase activity (GO:0008477)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
palmitoyl-(protein) hydrolase activity (GO:0008474)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mannitol dehydrogenase activity (GO:0046029)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phospholipid:diacylglycerol acyltransferase activity (GO:0046027)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (GO:0017136)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
sterol desaturase activity (GO:0070704)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
thiamine binding (GO:0030975)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamate synthase (NADH) activity (GO:0016040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor activity (GO:0000995)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
histone arginine N-methyltransferase activity (GO:0008469)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III core binding (GO:0000994)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
glycogenin glucosyltransferase activity (GO:0008466)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
hydroxypyruvate reductase (NADH) activity (GO:0008465)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
recombinase activator activity (GO:0120230)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phospholipid scramblase activity (GO:0017128)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
protein demethylase activity (GO:0140457)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
deoxycytidyl transferase activity (GO:0017125)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (GO:0035173)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
steryl deacetylase activity (GO:0034084)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acyl-CoA binding (GO:0120227)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate transmembrane transporter activity (GO:0089721)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
alanine-glyoxylate transaminase activity (GO:0008453)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipoyltransferase activity (GO:0017118)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA helicase activity (GO:0017116)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pheromone activity (GO:0005186)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate phosphatase activity (GO:0017110)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
chitin deacetylase activity (GO:0004099)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
catalase activity (GO:0004096)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
carnitine O-palmitoyltransferase activity (GO:0004095)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carnitine O-acetyltransferase activity (GO:0004092)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
carbonyl reductase (NADPH) activity (GO:0004090)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity (GO:0008444)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'(2'),5'-bisphosphate nucleotidase activity (GO:0008441)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 3-kinase activity (GO:0008440)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase (NADP+) activity (GO:0036243)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-flap endonuclease activity (GO:0017108)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
integrin binding (GO:0005178)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclosporin A binding (GO:0016018)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
protein tyrosine phosphatase activity, metal-dependent (GO:0030946)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carbonate dehydratase activity (GO:0004089)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (GO:0004088)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrion targeting sequence binding (GO:0030943)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
carbamoyl-phosphate synthase (ammonia) activity (GO:0004087)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum signal peptide binding (GO:0030942)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
branched-chain-amino-acid transaminase activity (GO:0004084)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity (GO:0004080)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA strand-exchange activity (GO:0034057)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity (GO:0004079)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity (GO:0004078)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin-[acetyl-CoA-carboxylase] ligase activity (GO:0004077)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin synthase activity (GO:0004076)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartate-semialdehyde dehydrogenase activity (GO:0004073)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartate kinase activity (GO:0004072)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine binding (GO:0008429)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease inhibitor activity (GO:0008428)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
aspartate carbamoyltransferase activity (GO:0004070)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0008425)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-glucosidase activity (GO:0008422)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
XTP diphosphatase activity (GO:0036222)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP diphosphatase activity (GO:0036221)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ITP diphosphatase activity (GO:0036220)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine-dependent carrier activity (GO:0140414)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-aspartate:2-oxoglutarate aminotransferase activity (GO:0004069)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ABC-type sterol transporter activity (GO:0034041)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
asparaginase activity (GO:0004067)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
RNA lariat debranching enzyme activity (GO:0008419)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arylformamidase activity (GO:0004061)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-N-terminal asparagine amidohydrolase activity (GO:0008418)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GTP diphosphatase activity (GO:0036219)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dTTP diphosphatase activity (GO:0036218)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity (GO:0008413)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dGTP diphosphatase activity (GO:0036217)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate octaprenyltransferase activity (GO:0008412)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CoA-transferase activity (GO:0008410)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydroguanine DNA N-glycosylase activity (GO:0034039)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine synthase activity (GO:0034038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carboxylate reductase activity (GO:0047770)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aralkylamine N-acetyltransferase activity (GO:0004059)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arginyl-tRNA--protein transferase activity (GO:0004057)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
argininosuccinate lyase activity (GO:0004056)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
argininosuccinate synthase activity (GO:0004055)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arginase activity (GO:0004053)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' exonuclease activity (GO:0008409)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
apyrase activity (GO:0004050)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor (GO:0016699)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anthranilate synthase activity (GO:0004049)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
anthranilate phosphoribosyltransferase activity (GO:0004048)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aminomethyltransferase activity (GO:0004047)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on hydrogen as donor (GO:0016695)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA hydrolase activity (GO:0004045)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
amidophosphoribosyltransferase activity (GO:0004044)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-aminoadipate-semialdehyde dehydrogenase activity (GO:0004043)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
amidase activity (GO:0004040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
allophanate hydrolase activity (GO:0004039)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
allantoinase activity (GO:0004038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
allantoicase activity (GO:0004037)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alkaline phosphatase activity (GO:0004035)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
aldose 1-epimerase activity (GO:0004034)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
