"","GENE","FUNCTION_DESC"
"1492","ASN1","adenyl ribonucleotide binding"
"1493","PTK2","adenyl ribonucleotide binding"
"1494","KSP1","adenyl ribonucleotide binding"
"1495","ULS1","adenyl ribonucleotide binding"
"1496","RCK2","adenyl ribonucleotide binding"
"1497","SPO11","adenyl ribonucleotide binding"
"1498","HIS4","adenyl ribonucleotide binding"
"1499","KIN82","adenyl ribonucleotide binding"
"1500","PKP1","adenyl ribonucleotide binding"
"1501","ACC1","adenyl ribonucleotide binding"
"1502","SSQ1","adenyl ribonucleotide binding"
"1503","KIN1","adenyl ribonucleotide binding"
"1504","SMC2","adenyl ribonucleotide binding"
"1505","DBF20","adenyl ribonucleotide binding"
"1506","HSP104","adenyl ribonucleotide binding"
"1507","KAR3","adenyl ribonucleotide binding"
"1508","PFK26","adenyl ribonucleotide binding"
"1509","RAD16","adenyl ribonucleotide binding"
"1510","DNF1","adenyl ribonucleotide binding"
"1511","MDL2","adenyl ribonucleotide binding"
