COMPONENT	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
exomer complex (GO:0034044)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
RNA nuclear export complex (GO:0042565)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
NLS-dependent protein nuclear import complex (GO:0042564)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial inner boundary membrane (GO:0097002)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
cytosolic [4Fe-4S] assembly targeting complex (GO:0097361)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
riboflavin synthase complex (GO:0009349)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nucleotide-activated protein kinase complex (GO:0031588)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase I core factor complex (GO:0070860)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
microtubule end (GO:1990752)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Set1C/COMPASS complex (GO:0048188)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
cytochrome complex (GO:0070069)	27	0	0.94	-	 < 0.01	1.00E+00	1.00E+00
MutSbeta complex (GO:0032302)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
MutSalpha complex (GO:0032301)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mismatch repair complex (GO:0032300)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
XPC complex (GO:0071942)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial inner-outer membrane contact site (GO:0044289)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
MCM complex (GO:0042555)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
endocytic vesicle (GO:0030139)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
COPI-coated vesicle (GO:0030137)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial crista junction (GO:0044284)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	44	0	1.52	-	 < 0.01	4.05E-01	1.00E+00
oligosaccharyltransferase complex (GO:0008250)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
chitosome (GO:0045009)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
clathrin adaptor complex (GO:0030131)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
outer mitochondrial membrane protein complex (GO:0098799)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
ribose phosphate diphosphokinase complex (GO:0002189)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
box H/ACA RNP complex (GO:0072588)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum palmitoyltransferase complex (GO:0031211)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Golgi lumen (GO:0005796)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	26	0	0.9	-	 < 0.01	1.00E+00	1.00E+00
serine palmitoyltransferase complex (GO:0017059)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
rough endoplasmic reticulum (GO:0005791)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
prospore membrane leading edge (GO:0070056)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative cofactor 2 complex (GO:0017054)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
transcription repressor complex (GO:0017053)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
clathrin coat of endocytic vesicle (GO:0030128)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
COPII vesicle coat (GO:0030127)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
COPI vesicle coat (GO:0030126)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
AP-2 adaptor complex (GO:0030122)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
phenylalanine-tRNA ligase complex (GO:0009328)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
AP-1 adaptor complex (GO:0030121)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
PCNA complex (GO:0043626)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ER to Golgi transport vesicle membrane (GO:0012507)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
FACT complex (GO:0035101)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Sec62/Sec63 complex (GO:0031207)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum Sec complex (GO:0031205)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
nucleoplasmic THO complex (GO:0000446)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
THO complex part of transcription export complex (GO:0000445)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
palmitoyltransferase complex (GO:0002178)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
MIS12/MIND type complex (GO:0000444)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
signal peptidase complex (GO:0005787)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"signal recognition particle, endoplasmic reticulum targeting (GO:0005786)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
signal recognition particle receptor complex (GO:0005785)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Sec61 translocon complex (GO:0005784)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Smc5-Smc6 complex (GO:0030915)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic 48S preinitiation complex (GO:0033290)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
secretory vesicle (GO:0099503)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of intraperoxisomal membrane (GO:0005780)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cell cortex of growing cell tip (GO:1902716)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
bub1-bub3 complex (GO:1990298)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
3-isopropylmalate dehydratase complex (GO:0009316)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
multi-eIF complex (GO:0043614)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
Lsm1-7-Pat1 complex (GO:1990726)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
vacuolar lumen (GO:0005775)	21	0	0.73	-	 < 0.01	1.00E+00	1.00E+00
MBF transcription complex (GO:0030907)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
heterochromatin (GO:0000792)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
"retromer, cargo-selective complex (GO:0030906)"	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
euchromatin (GO:0000791)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
"retromer, tubulation complex (GO:0030905)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
retromer complex (GO:0030904)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
transcription export complex 2 (GO:0070390)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
clathrin-coated endocytic vesicle (GO:0045334)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
HDA1 complex (GO:0070823)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
nuclear telomere cap complex (GO:0000783)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
telomere cap complex (GO:0000782)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial small ribosomal subunit (GO:0005763)	36	0	1.25	-	 < 0.01	6.36E-01	1.00E+00
mitochondrial large ribosomal subunit (GO:0005762)	47	0	1.63	-	 < 0.01	4.11E-01	1.00E+00
mitochondrial ribosome (GO:0005761)	89	0	3.08	-	 < 0.01	7.63E-02	9.18E-01
gamma DNA polymerase complex (GO:0005760)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
myosin filament (GO:0032982)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
exocytic vesicle (GO:0070382)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
acyl-CoA ceramide synthase complex (GO:0061576)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
ferroxidase complex (GO:1905862)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
mRNA capping enzyme complex (GO:0031533)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
EMC complex (GO:0072546)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
"mitochondrial proton-transporting ATP synthase, central stalk (GO:0005756)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
CORVET complex (GO:0033263)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cytosolic tRNA wobble base thiouridylase complex (GO:0002144)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"mitochondrial proton-transporting ATP synthase, catalytic core (GO:0005754)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial respiratory chain complex IV (GO:0005751)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial respiratory chain complex III (GO:0005750)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
medial cortex (GO:0031097)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitochondria-associated endoplasmic reticulum membrane contact site (GO:0044233)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
organelle membrane contact site (GO:0044232)	58	0	2.01	-	 < 0.01	2.69E-01	1.00E+00
cellular bud neck split septin rings (GO:0032177)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
split septin rings (GO:0032176)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
DNA recombinase auxiliary factor complex (GO:0120231)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RNA decapping complex (GO:0098745)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
EKC/KEOPS complex (GO:0000408)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of membrane (GO:0019898)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of plasma membrane (GO:0019897)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
SAS acetyltransferase complex (GO:0033255)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial respirasome (GO:0005746)	21	0	0.73	-	 < 0.01	1.00E+00	1.00E+00
m-AAA complex (GO:0005745)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic 43S preinitiation complex (GO:0016282)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial outer membrane translocase complex (GO:0005742)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic translation initiation factor 4F complex (GO:0016281)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Asi complex (GO:0097658)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
BLOC-1 complex (GO:0031083)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
BLOC complex (GO:0031082)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore outer ring (GO:0031080)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
box C/D RNP complex (GO:0170049)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
translation release factor complex (GO:0018444)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
host cell cytoplasm (GO:0030430)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
CBF3 complex (GO:0031518)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
tRNA (m1A) methyltransferase complex (GO:0031515)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase I complex (GO:0005736)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
Mis6-Sim4 complex (GO:0031511)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
SUMO ligase complex (GO:0106068)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
SUMO activating enzyme complex (GO:0031510)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
prefoldin complex (GO:0016272)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
nucleocytoplasmic transport complex (GO:0031074)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
G protein-coupled receptor complex (GO:0097648)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"proteasome regulatory particle, lid subcomplex (GO:0008541)"	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
2-micrometer circle DNA (GO:0005729)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitotic checkpoint complex (GO:0033597)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
host cell viral assembly compartment (GO:0072517)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
extrachromosomal circular DNA (GO:0005727)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase complex (GO:0031502)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mannosyltransferase complex (GO:0031501)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
Shu complex (GO:0097196)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
elongator holoenzyme complex (GO:0033588)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
iron-sulfur cluster assembly complex (GO:1990229)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
sulfurtransferase complex (GO:1990228)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum chaperone complex (GO:0034663)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
CTDK-1 complex (GO:0070692)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
L-cysteine desulfurase complex (GO:1990221)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
high-affinity iron permease complex (GO:0033573)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
pre-replicative complex (GO:0036387)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
serine-type endopeptidase complex (GO:1905370)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
perinuclear endoplasmic reticulum membrane (GO:1990578)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Ski complex (GO:0055087)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
ESCRT-0 complex (GO:0033565)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
DNA helicase A complex (GO:0033203)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
inclusion body (GO:0016234)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
DNA helicase complex (GO:0033202)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Cdc73/Paf1 complex (GO:0016593)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
Golgi to plasma membrane transport vesicle (GO:0070319)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
GTPase complex (GO:1905360)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)"	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) (GO:0000275)"	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"mitochondrial proton-transporting ATP synthase, stator stalk (GO:0000274)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Elg1 RFC-like complex (GO:0031391)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Ctf18 RFC-like complex (GO:0031390)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
SMC loading complex (GO:0032116)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
polyprenyl diphosphate synthase complex (GO:0032476)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Slx1-Slx4 complex (GO:0033557)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
rDNA heterochromatin (GO:0033553)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
vacuole-isolation membrane contact site (GO:0120095)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
monopolin complex (GO:0033551)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
protein folding chaperone complex (GO:0101031)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
Rad17 RFC-like complex (GO:0031389)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
ADA complex (GO:0140671)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
oligosaccharyltransferase I complex (GO:0034998)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
large ribosomal subunit (GO:0015934)	132	0	4.57	-	 < 0.01	1.49E-02	4.58E-01
mitochondrial chromosome (GO:0000262)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
FAR/SIN/STRIPAK complex (GO:0090443)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
extracellular matrix (GO:0031012)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ubiquitin conjugating enzyme complex (GO:0031371)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
protein phosphatase 4 complex (GO:0030289)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
cell wall-bounded periplasmic space (GO:0030287)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
dynein complex (GO:0030286)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
Unclassified (UNCLASSIFIED)	47	0	1.63	-	 < 0.01	4.11E-01	1.00E+00
MutSgamma complex (GO:0062128)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
glutaminase complex (GO:1903600)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Swi5-Swi2 complex (GO:0034974)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Sid2-Mob1 complex (GO:0034973)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle polar microtubule (GO:1990537)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Dom34-Hbs1 complex (GO:1990533)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Cdc50p-Drs2p complex (GO:1990530)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
lumenal side of membrane (GO:0098576)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
Set3 complex (GO:0034967)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
glycosylphosphatidylinositol-mannosyltransferase I complex (GO:1990529)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Rvs161p-Rvs167p complex (GO:1990528)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
recycling endosome (GO:0055037)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
astral microtubule (GO:0000235)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Tec1p-Ste12p-Dig1p complex (GO:1990527)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Ste12p-Dig1p-Dig2p complex (GO:1990526)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
translation preinitiation complex (GO:0070993)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
INA complex (GO:1990524)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Swi5-Sfr1 complex (GO:0032798)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
plasma membrane raft (GO:0044853)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
transcription elongation factor complex (GO:0008023)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
CST complex (GO:1990879)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
cortical microtubule (GO:0055028)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
PTW/PP1 phosphatase complex (GO:0072357)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
transcription factor TFIIK complex (GO:0070985)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
FNIP-folliculin RagC/D GAP (GO:1990877)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
"vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
Vma12-Vma22 assembly complex (GO:1990871)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
shelterin complex (GO:0070187)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
TRAPPIII protein complex (GO:1990072)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
TRAPPII protein complex (GO:1990071)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
HULC complex (GO:0033503)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
TRAPPI protein complex (GO:1990070)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
Ssh1 translocon complex (GO:0071261)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
tRNA-intron endonuclease complex (GO:0000214)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Rad51C-XRCC3 complex (GO:0033065)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum exit site (GO:0070971)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
DNA recombinase mediator complex (GO:0033061)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Ubp3-Bre5 deubiquitination complex (GO:1990861)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
piccolo histone acetyltransferase complex (GO:0032777)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
Pho85-Pho80 CDK-cyclin complex (GO:1990860)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
glucosidase II complex (GO:0017177)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
translocon complex (GO:0071256)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
G protein-coupled receptor homodimeric complex (GO:0038038)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
intermediate filament cytoskeleton (GO:0045111)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
G protein-coupled receptor dimeric complex (GO:0038037)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
G-protein beta/gamma-subunit complex (GO:0031680)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cytosolic [4Fe-4S] assembly scaffold complex (GO:1904564)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
SWI/SNF complex (GO:0016514)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
Aim21-Tda2 complex (GO:0110131)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
ATPase dependent transmembrane transport complex (GO:0098533)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of mitochondrial outer membrane (GO:0031315)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of mitochondrial inner membrane (GO:0031314)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
meiotic spindle (GO:0072687)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of organelle membrane (GO:0031312)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle (GO:0072686)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
matrix side of mitochondrial inner membrane (GO:0099617)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
voltage-gated calcium channel complex (GO:0005891)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
RAVE complex (GO:0043291)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Las1 complex (GO:0090730)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cellular birth scar (GO:0071597)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Nem1-Spo7 phosphatase complex (GO:0071595)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Pip2-Oaf1 complex (GO:0089716)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Cbf1-Met4-Met28 complex (GO:0089713)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Arp2/3 protein complex (GO:0005885)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
intermediate filament (GO:0005882)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nuclear microtubule (GO:0005880)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
DNA repair complex (GO:1990391)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Dsl1/NZR complex (GO:0070939)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
spindle microtubule (GO:0005876)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
U2AF complex (GO:0089701)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
kinesin complex (GO:0005871)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle midzone (GO:1990023)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
ribonuclease H2 complex (GO:0032299)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
dynactin complex (GO:0005869)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic dynein complex (GO:0005868)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
vacuole-mitochondrion membrane contact site (GO:1990816)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
Mpp10 complex (GO:0034457)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
UTP-C complex (GO:0034456)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
t-UTP complex (GO:0034455)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle astral microtubule (GO:0061673)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
glutathione hydrolase complex (GO:0061672)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Cbp3p-Cbp6 complex (GO:0061671)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nucleus-vacuole junction (GO:0071561)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
